level2_id,size,top_labels,top_types,display_label
15,1,BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern ; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos,"{""LEVEL1_COMMUNITY"": 1}",BRITISH AMBASSADOR TO EGYPT; EGYPTS CHIEF UN DELEGATE; Recommendation for Mediterranean command headquarters | The British Ambassador recommended that the headquarters of the proposed Allied command for the eastern ; Effort to postpone UN action on Canal issue | Egyptian diplomats approached US officials to develop a new formula for settling the Suez Canal dispute and to pos
16,1,ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT,"{""LEVEL1_COMMUNITY"": 1}",ISRAELI BORDER SETTLEMENTS; SYRIAN ENGINEER OFFICER; Model Settlement Preparation | Egyptian army engineers prepared a model settlement for training. | Other | 1956-09-23; MODEL SETTLEMENT
17,1,BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04,"{""LEVEL1_COMMUNITY"": 1}",BRITISH PRESS; BRITISH UN REPRESENTATIVES; Request for American views | British UN representatives requested American views on a proposed weakening of the Assembly resolution. | Communication | 1953-09-0; Public attitude reflection | The British press reflected a dominant public attitude regarding the admission of Communist China to the UN. | Speech | 1953-09-04
18,1,JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t,"{""LEVEL1_COMMUNITY"": 1}",JAPANESE NATIONALIST GOVERNMENT; PEIPING RAILWAY BUREAU; British opposition to Japanese treaty negotiations | The British Mission Chief in Tokyo requested information on Japanese intentions regarding a treaty with the; Closure of Manchurian railways | Peiping authorities suspended passenger and commercial freight service on most of the Manchurian rail network due to military t
19,1,"SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic","{""LEVEL1_COMMUNITY"": 1}","SOVIET MILITARY ADMINISTRATION; WESTERN GERMANY; Cancellation of Orders | The USSR Council of Ministers canceled all orders and instructions on political, economic and cultural affairs in East Germany. | Polic"
20,1,JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE,"{""LEVEL1_COMMUNITY"": 1}",JORDANIAN ARMED FORCES; SYRIAN BORDER; TURKISH AIR FORCE
21,1,CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02,"{""LEVEL1_COMMUNITY"": 1}",CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02
22,1,BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT,"{""LEVEL1_COMMUNITY"": 1}",BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT
23,1,SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14,"{""LEVEL1_COMMUNITY"": 1}",SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14
24,1,"BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959","{""LEVEL1_COMMUNITY"": 1}","BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959"
25,1,BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other,"{""LEVEL1_COMMUNITY"": 1}",BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other
26,1,CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05,"{""LEVEL1_COMMUNITY"": 1}",CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05
27,1,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS,"{""LEVEL1_COMMUNITY"": 1}",ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS
28,1,HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15,"{""LEVEL1_COMMUNITY"": 1}",HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15
29,1,COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04,"{""LEVEL1_COMMUNITY"": 1}",COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04
30,1,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH,"{""LEVEL1_COMMUNITY"": 1}",ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH
31,1,"ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction","{""LEVEL1_COMMUNITY"": 1}","ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction"
32,1,ANGLO-EGYPTIAN NEGOTIATIONS; JAPANESE DEFENSE OFFICIALS; Anglo-Egyptian negotiations | Informal talks suspended due to disagreements over British technicians' uniforms. | Negotiation | 23 September 1953,"{""LEVEL1_COMMUNITY"": 1}",ANGLO-EGYPTIAN NEGOTIATIONS; JAPANESE DEFENSE OFFICIALS; Anglo-Egyptian negotiations | Informal talks suspended due to disagreements over British technicians' uniforms. | Negotiation | 23 September 1953
33,1,"GUEVARA GROUP; MANCHENO; Student and Laborer Parade | A parade of students, laborers, and leftist political parties that turned violent. | Demonstration | 1951-03-31","{""LEVEL1_COMMUNITY"": 1}","GUEVARA GROUP; MANCHENO; Student and Laborer Parade | A parade of students, laborers, and leftist political parties that turned violent. | Demonstration | 1951-03-31"
34,1,LEBANESE EMBASSY; SOVIET-IRANIAN FISHERIES; Pressure against Iranian nationalization | Soviet official directed the discharge of Iranian employees discussing nationalization. | PolicyAction | October,"{""LEVEL1_COMMUNITY"": 1}",LEBANESE EMBASSY; SOVIET-IRANIAN FISHERIES; Pressure against Iranian nationalization | Soviet official directed the discharge of Iranian employees discussing nationalization. | PolicyAction | October
35,1,INTRANSIGENT RADICAL CIVIC UNION; PEOPLES RADICAL CIVIC UNION; Economic reorganization in China | New regulations issued to decentralize industry and manage labor force. | PolicyAction,"{""LEVEL1_COMMUNITY"": 1}",INTRANSIGENT RADICAL CIVIC UNION; PEOPLES RADICAL CIVIC UNION; Economic reorganization in China | New regulations issued to decentralize industry and manage labor force. | PolicyAction
36,1,NORTH KOREAN COMMUNIST LEADERSHIP; SOUTH KOREAN LABOR PARTY; Bilateral talks suggestion | The Soviet ambassador suggested bilateral talks with France regarding the German problem. | Communication | 1953-07-31 to 1953-08-0,"{""LEVEL1_COMMUNITY"": 1}",NORTH KOREAN COMMUNIST LEADERSHIP; SOUTH KOREAN LABOR PARTY; Bilateral talks suggestion | The Soviet ambassador suggested bilateral talks with France regarding the German problem. | Communication | 1953-07-31 to 1953-08-0
37,1,LIEUTENANT COLONEL TASWIN; PHILIPPINE FOREIGN MINISTRY; Request for Information | The Philippine Foreign Ministry requested up-to-date reports on the status of U.S. armed forces or bases. | Communication,"{""LEVEL1_COMMUNITY"": 1}",LIEUTENANT COLONEL TASWIN; PHILIPPINE FOREIGN MINISTRY; Request for Information | The Philippine Foreign Ministry requested up-to-date reports on the status of U.S. armed forces or bases. | Communication
38,1,DEFENSE SECRETARY GOSNJAK; YUGOSLAV PARLIAMENT,"{""LEVEL1_COMMUNITY"": 1}",DEFENSE SECRETARY GOSNJAK; YUGOSLAV PARLIAMENT
39,1,NATIONAL YOUTH CORPS; TAIPEI RIOTS,"{""LEVEL1_COMMUNITY"": 1}",NATIONAL YOUTH CORPS; TAIPEI RIOTS
40,1,DEAN RUSK; TOKYO CONFERENCE,"{""LEVEL1_COMMUNITY"": 1}",DEAN RUSK; TOKYO CONFERENCE
41,1,LIBYANS; LIBYAN COUNCIL OF MINISTERS,"{""LEVEL1_COMMUNITY"": 1}",LIBYANS; LIBYAN COUNCIL OF MINISTERS
42,1,INDONESIAN DIPLOMATS; RUSSIAN EMBASSY,"{""LEVEL1_COMMUNITY"": 1}",INDONESIAN DIPLOMATS; RUSSIAN EMBASSY
43,1,GENERAL GOES MONTEIRO; US AMBASSADOR JOHNSON,"{""LEVEL1_COMMUNITY"": 1}",GENERAL GOES MONTEIRO; US AMBASSADOR JOHNSON
44,1,LAOTIAN PEOPLES LIBERATION ARMY; LAOS INVASION,"{""LEVEL1_COMMUNITY"": 1}",LAOTIAN PEOPLES LIBERATION ARMY; LAOS INVASION
45,1,VLADIMIR USTINOV; YEKATERINA FURTSEVA,"{""LEVEL1_COMMUNITY"": 1}",VLADIMIR USTINOV; YEKATERINA FURTSEVA
46,1,CHILEAN CABINET; LABOR MINISTER FONCEA,"{""LEVEL1_COMMUNITY"": 1}",CHILEAN CABINET; LABOR MINISTER FONCEA
47,1,CONFEDERATION OF ECUADORAN WORKERS (CTE); MANABI EXPLORATION COMPANY,"{""LEVEL1_COMMUNITY"": 1}",CONFEDERATION OF ECUADORAN WORKERS (CTE); MANABI EXPLORATION COMPANY
48,1,EAST GERMAN MINISTRY OF TRANSPORT; Planning of post-ratification measures | East German Ministry of Transport conferred on propaganda activity and measures against West Berlin. | PolicyAction | 1,"{""LEVEL1_COMMUNITY"": 1}",EAST GERMAN MINISTRY OF TRANSPORT; Planning of post-ratification measures | East German Ministry of Transport conferred on propaganda activity and measures against West Berlin. | PolicyAction | 1
49,1,DE GASPERI CABINET; EAST GERMAN SECURITY MINISTER,"{""LEVEL1_COMMUNITY"": 1}",DE GASPERI CABINET; EAST GERMAN SECURITY MINISTER
50,1,ISRAELI TROOPS; UN OBSERVER HUTCHISON,"{""LEVEL1_COMMUNITY"": 1}",ISRAELI TROOPS; UN OBSERVER HUTCHISON
51,1,EGYPTIAN GOVERNMENT-CONTROLLED NEWS AGENCY; LEBANESE OPPOSITION LEADER,"{""LEVEL1_COMMUNITY"": 1}",EGYPTIAN GOVERNMENT-CONTROLLED NEWS AGENCY; LEBANESE OPPOSITION LEADER
52,1,MENAHIM BEGIN; Rally by Menahim Begin | Menahim Begin spoke about Israel's existence being in balance due to the Suez Canal dispute. | Speech | 1956-08-13,"{""LEVEL1_COMMUNITY"": 1}",MENAHIM BEGIN; Rally by Menahim Begin | Menahim Begin spoke about Israel's existence being in balance due to the Suez Canal dispute. | Speech | 1956-08-13
53,1,IRKUTSK AUTOMOBILE ASSEMBLY PLANT; MINISTRY OF THE COMMUNICATIONS EQUIPMENT INDUSTRY,"{""LEVEL1_COMMUNITY"": 1}",IRKUTSK AUTOMOBILE ASSEMBLY PLANT; MINISTRY OF THE COMMUNICATIONS EQUIPMENT INDUSTRY
54,1,PERON GOVERNMENT; diplomatic approaches | The Peron government made diplomatic approaches aimed at settling pending problems with the United States. | Communication | 1950-1951,"{""LEVEL1_COMMUNITY"": 1}",PERON GOVERNMENT; diplomatic approaches | The Peron government made diplomatic approaches aimed at settling pending problems with the United States. | Communication | 1950-1951
55,1,PHAN VAN DONG; Viet Minh foreign minister's statement | Phan Van Dong voices lack of confidence in 'the East'. | Speech,"{""LEVEL1_COMMUNITY"": 1}",PHAN VAN DONG; Viet Minh foreign minister's statement | Phan Van Dong voices lack of confidence in 'the East'. | Speech
56,1,PRESIDENT-DESIGNATE URDANETA; PRESIDENT GOMEZ,"{""LEVEL1_COMMUNITY"": 1}",PRESIDENT-DESIGNATE URDANETA; PRESIDENT GOMEZ
57,1,RADIO BUDAPEST; Broadcast Appeals | Radio Budapest broadcasts appeals from leaders to end bloodshed. | Communication | 1956-10-25,"{""LEVEL1_COMMUNITY"": 1}",RADIO BUDAPEST; Broadcast Appeals | Radio Budapest broadcasts appeals from leaders to end bloodshed. | Communication | 1956-10-25
58,1,SHAMMAR; YAZIDI,"{""LEVEL1_COMMUNITY"": 1}",SHAMMAR; YAZIDI
59,1,POLISH ARMED FORCES; SOVIET MARSHAL ROKOSSOVSKY,"{""LEVEL1_COMMUNITY"": 1}",POLISH ARMED FORCES; SOVIET MARSHAL ROKOSSOVSKY
60,1,TSHOMBES FORCES; UNION OF NEGRO LABORERS AND ARTISANS,"{""LEVEL1_COMMUNITY"": 1}",TSHOMBES FORCES; UNION OF NEGRO LABORERS AND ARTISANS
61,1,CHEN SHAO-KUAN; Defection Appeals | Chen Shao-kuan advised military and administrative personnel in Taiwan to oppose US imperialism. | Communication | 1958-10-08,"{""LEVEL1_COMMUNITY"": 1}",CHEN SHAO-KUAN; Defection Appeals | Chen Shao-kuan advised military and administrative personnel in Taiwan to oppose US imperialism. | Communication | 1958-10-08
62,1,"KOREAN UNEMPLOYED ASSOCIATION; Demonstration in Seoul | A demonstration by 2,000 members of the Korean Unemployed Association criticizing the government. | Demonstration | 23 March 1961","{""LEVEL1_COMMUNITY"": 1}","KOREAN UNEMPLOYED ASSOCIATION; Demonstration in Seoul | A demonstration by 2,000 members of the Korean Unemployed Association criticizing the government. | Demonstration | 23 March 1961"
63,1,BRITISH PROPOSALS; SOVIET BROADCAST,"{""LEVEL1_COMMUNITY"": 1}",BRITISH PROPOSALS; SOVIET BROADCAST
64,1,MINDAN; DEMONSTRATION,"{""LEVEL1_COMMUNITY"": 1}",MINDAN; DEMONSTRATION
65,1,GAJEWSKI; POZNAN RIOTS,"{""LEVEL1_COMMUNITY"": 1}",GAJEWSKI; POZNAN RIOTS
66,1,PUBLIC LECTURER IN MOSCOW; US SOVIET RELATIONS,"{""LEVEL1_COMMUNITY"": 1}",PUBLIC LECTURER IN MOSCOW; US SOVIET RELATIONS
